zip,scraped,stcd,county
81027,"LAS ANIMAS, CO",CO,LAS ANIMAS
81030,"OTERO, CO",CO,OTERO
81033,"CROWLEY, CO",CO,CROWLEY
81034,"CROWLEY, CO",CO,CROWLEY
81038,"BENT, CO",CO,BENT
81039,"OTERO, CO",CO,OTERO
81039,"CROWLEY, CO",CO,CROWLEY
81039,"LAS ANIMAS, CO",CO,LAS ANIMAS
81039,"PUEBLO, CO",CO,PUEBLO
81040,"HUERFANO, CO",CO,HUERFANO
81041,"PROWERS, CO",CO,PROWERS
81041,"BACA, CO",CO,BACA
81043,"PROWERS, CO",CO,PROWERS
81044,"BENT, CO",CO,BENT
81046,"LAS ANIMAS, CO",CO,LAS ANIMAS
81047,"PROWERS, CO",CO,PROWERS
81047,"BACA, CO",CO,BACA
81047,"KIOWA, CO",CO,KIOWA
81049,"LAS ANIMAS, CO",CO,LAS ANIMAS
81050,"OTERO, CO",CO,OTERO
81050,"BENT, CO",CO,BENT
81052,"PROWERS, CO",CO,PROWERS
81052,"BENT, CO",CO,BENT
81054,"BENT, CO",CO,BENT
81055,"HUERFANO, CO",CO,HUERFANO
81057,"BENT, CO",CO,BENT
81058,"OTERO, CO",CO,OTERO
81058,"CROWLEY, CO",CO,CROWLEY
81059,"LAS ANIMAS, CO",CO,LAS ANIMAS
81059,"OTERO, CO",CO,OTERO
81062,"CROWLEY, CO",CO,CROWLEY
81062,"PUEBLO, CO",CO,PUEBLO
81063,"CROWLEY, CO",CO,CROWLEY
81063,"LINCOLN, CO",CO,LINCOLN
81064,"BACA, CO",CO,BACA
81064,"LAS ANIMAS, CO",CO,LAS ANIMAS
81067,"OTERO, CO",CO,OTERO
81069,"PUEBLO, CO",CO,PUEBLO
81069,"CROWLEY, CO",CO,CROWLEY
81069,"CUSTER, CO",CO,CUSTER
81069,"HUERFANO, CO",CO,HUERFANO
81076,"CROWLEY, CO",CO,CROWLEY
81076,"KIOWA, CO",CO,KIOWA
81076,"LINCOLN, CO",CO,LINCOLN
81077,"OTERO, CO",CO,OTERO
81081,"LAS ANIMAS, CO",CO,LAS ANIMAS
81082,"LAS ANIMAS, CO",CO,LAS ANIMAS
81084,"BACA, CO",CO,BACA
81084,"PROWERS, CO",CO,PROWERS
81089,"HUERFANO, CO",CO,HUERFANO
81089,"LAS ANIMAS, CO",CO,LAS ANIMAS
81091,"LAS ANIMAS, CO",CO,LAS ANIMAS
81092,"PROWERS, CO",CO,PROWERS
81092,"BENT, CO",CO,BENT
81092,"KIOWA, CO",CO,KIOWA
81101,"ALAMOSA, CO",CO,ALAMOSA
81101,"CONEJOS, CO",CO,CONEJOS
81122,"LA PLATA, CO",CO,LA PLATA
81122,"ARCHULETA, CO",CO,ARCHULETA
81137,"LA PLATA, CO",CO,LA PLATA
81137,"SAN JUAN, NM",NM,SAN JUAN
81147,"ARCHULETA, CO",CO,ARCHULETA
81212,"FREMONT, CO",CO,FREMONT
81215,"FREMONT, CO",CO,FREMONT
81221,"FREMONT, CO",CO,FREMONT
81222,"FREMONT, CO",CO,FREMONT
81223,"FREMONT, CO",CO,FREMONT
81224,"GUNNISON, CO",CO,GUNNISON
81225,"GUNNISON, CO",CO,GUNNISON
81226,"FREMONT, CO",CO,FREMONT
81230,"GUNNISON, CO",CO,GUNNISON
81233,"FREMONT, CO",CO,FREMONT
81235,"HINSDALE, CO",CO,HINSDALE
81240,"FREMONT, CO",CO,FREMONT
81244,"FREMONT, CO",CO,FREMONT
81252,"CUSTER, CO",CO,CUSTER
81253,"CUSTER, CO",CO,CUSTER
81253,"FREMONT, CO",CO,FREMONT
81253,"PUEBLO, CO",CO,PUEBLO
81290,"FREMONT, CO",CO,FREMONT
81301,"LA PLATA, CO",CO,LA PLATA
81301,"SAN JUAN, CO",CO,SAN JUAN
81303,"LA PLATA, CO",CO,LA PLATA
81321,"MONTEZUMA, CO",CO,MONTEZUMA
81401,"MONTROSE, CO",CO,MONTROSE
81413,"DELTA, CO",CO,DELTA
81416,"DELTA, CO",CO,DELTA
81416,"MONTROSE, CO",CO,MONTROSE
81418,"DELTA, CO",CO,DELTA
81501,"MESA, CO",CO,MESA
81503,"MESA, CO",CO,MESA
81504,"MESA, CO",CO,MESA
81505,"MESA, CO",CO,MESA
81506,"MESA, CO",CO,MESA
81507,"MESA, CO",CO,MESA
81520,"MESA, CO",CO,MESA
81521,"MESA, CO",CO,MESA
81526,"MESA, CO",CO,MESA
81601,"GARFIELD, CO",CO,GARFIELD
81611,"PITKIN, CO",CO,PITKIN
81621,"EAGLE, CO",CO,EAGLE
81621,"PITKIN, CO",CO,PITKIN
81623,"GARFIELD, CO",CO,GARFIELD
81623,"EAGLE, CO",CO,EAGLE
81623,"GUNNISON, CO",CO,GUNNISON
81623,"PITKIN, CO",CO,PITKIN
81624,"MESA, CO",CO,MESA
81625,"MOFFAT, CO",CO,MOFFAT
81625,"ROUTT, CO",CO,ROUTT
81630,"MESA, CO",CO,MESA
81630,"GARFIELD, CO",CO,GARFIELD
81631,"EAGLE, CO",CO,EAGLE
81635,"GARFIELD, CO",CO,GARFIELD
81637,"EAGLE, CO",CO,EAGLE
81637,"GARFIELD, CO",CO,GARFIELD
81639,"ROUTT, CO",CO,ROUTT
81647,"GARFIELD, CO",CO,GARFIELD
81650,"GARFIELD, CO",CO,GARFIELD
81650,"RIO BLANCO, CO",CO,RIO BLANCO
81652,"GARFIELD, CO",CO,GARFIELD
81657,"EAGLE, CO",CO,EAGLE
82001,"LARAMIE, WY",WY,LARAMIE
82002,"LARAMIE, WY",WY,LARAMIE
82003,"LARAMIE, WY",WY,LARAMIE
82005,"LARAMIE, WY",WY,LARAMIE
82006,"LARAMIE, WY",WY,LARAMIE
82007,"LARAMIE, WY",WY,LARAMIE
82009,"LARAMIE, WY",WY,LARAMIE
82010,"LARAMIE, WY",WY,LARAMIE
82051,"ALBANY, WY",WY,ALBANY
82052,"ALBANY, WY",WY,ALBANY
82052,"LARAMIE, WY",WY,LARAMIE
82059,"LARAMIE, WY",WY,LARAMIE
82061,"LARAMIE, WY",WY,LARAMIE
82063,"ALBANY, WY",WY,ALBANY
82063,"LARIMER, CO",CO,LARIMER
82070,"ALBANY, WY",WY,ALBANY
82070,"LARIMER, CO",CO,LARIMER
82072,"ALBANY, WY",WY,ALBANY
82073,"ALBANY, WY",WY,ALBANY
82201,"PLATTE, WY",WY,PLATTE
82201,"ALBANY, WY",WY,ALBANY
82210,"PLATTE, WY",WY,PLATTE
82210,"GOSHEN, WY",WY,GOSHEN
82213,"PLATTE, WY",WY,PLATTE
82214,"PLATTE, WY",WY,PLATTE
82601,"NATRONA, WY",WY,NATRONA
82602,"NATRONA, WY",WY,NATRONA
82605,"NATRONA, WY",WY,NATRONA
82609,"NATRONA, WY",WY,NATRONA
82633,"CONVERSE, WY",WY,CONVERSE
82636,"NATRONA, WY",WY,NATRONA
82636,"CONVERSE, WY",WY,CONVERSE
82644,"NATRONA, WY",WY,NATRONA
83201,"BANNOCK, ID",ID,BANNOCK
83202,"BANNOCK, ID",ID,BANNOCK
83202,"BINGHAM, ID",ID,BINGHAM
83204,"BANNOCK, ID",ID,BANNOCK
83204,"POWER, ID",ID,POWER
83221,"BINGHAM, ID",ID,BINGHAM
83262,"BINGHAM, ID",ID,BINGHAM
83401,"BONNEVILLE, ID",ID,BONNEVILLE
83401,"JEFFERSON, ID",ID,JEFFERSON
83402,"BONNEVILLE, ID",ID,BONNEVILLE
83402,"BINGHAM, ID",ID,BINGHAM
83402,"JEFFERSON, ID",ID,JEFFERSON
83404,"BONNEVILLE, ID",ID,BONNEVILLE
83404,"BINGHAM, ID",ID,BINGHAM
83406,"BONNEVILLE, ID",ID,BONNEVILLE
83440,"MADISON, ID",ID,MADISON
83440,"FREMONT, ID",ID,FREMONT
83442,"JEFFERSON, ID",ID,JEFFERSON
83442,"BONNEVILLE, ID",ID,BONNEVILLE
83605,"CANYON, ID",ID,CANYON
83606,"CANYON, ID",ID,CANYON
83616,"ADA, ID",ID,ADA
83616,"GEM, ID",ID,GEM
83642,"ADA, ID",ID,ADA
83646,"ADA, ID",ID,ADA
83651,"CANYON, ID",ID,CANYON
83652,"CANYON, ID",ID,CANYON
83653,"CANYON, ID",ID,CANYON
83669,"ADA, ID",ID,ADA
83669,"CANYON, ID",ID,CANYON
83680,"ADA, ID",ID,ADA
83686,"CANYON, ID",ID,CANYON
83687,"CANYON, ID",ID,CANYON
83687,"ADA, ID",ID,ADA
83701,"ADA, ID",ID,ADA
83702,"ADA, ID",ID,ADA
83702,"BOISE, ID",ID,BOISE
83704,"ADA, ID",ID,ADA
83706,"ADA, ID",ID,ADA
83707,"ADA, ID",ID,ADA
83709,"ADA, ID",ID,ADA
83711,"ADA, ID",ID,ADA
83712,"ADA, ID",ID,ADA
83719,"ADA, ID",ID,ADA
83722,"ADA, ID",ID,ADA
83724,"ADA, ID",ID,ADA
83726,"ADA, ID",ID,ADA
83728,"ADA, ID",ID,ADA
83729,"ADA, ID",ID,ADA
83732,"ADA, ID",ID,ADA
83735,"ADA, ID",ID,ADA
83756,"ADA, ID",ID,ADA
83799,"ADA, ID",ID,ADA
84003,"UTAH, UT",UT,UTAH
84004,"UTAH, UT",UT,UTAH
84006,"SALT LAKE, UT",UT,SALT LAKE
84009,"SALT LAKE, UT",UT,SALT LAKE
84010,"DAVIS, UT",UT,DAVIS
84014,"DAVIS, UT",UT,DAVIS
84020,"SALT LAKE, UT",UT,SALT LAKE
84020,"UTAH, UT",UT,UTAH
84037,"DAVIS, UT",UT,DAVIS
84040,"DAVIS, UT",UT,DAVIS
84041,"DAVIS, UT",UT,DAVIS
84042,"UTAH, UT",UT,UTAH
84043,"UTAH, UT",UT,UTAH
84044,"SALT LAKE, UT",UT,SALT LAKE
84047,"SALT LAKE, UT",UT,SALT LAKE
84050,"MORGAN, UT",UT,MORGAN
84054,"DAVIS, UT",UT,DAVIS
84057,"UTAH, UT",UT,UTAH
84058,"UTAH, UT",UT,UTAH
84059,"UTAH, UT",UT,UTAH
84062,"UTAH, UT",UT,UTAH
84065,"SALT LAKE, UT",UT,SALT LAKE
84065,"UTAH, UT",UT,UTAH
84070,"SALT LAKE, UT",UT,SALT LAKE
84084,"SALT LAKE, UT",UT,SALT LAKE
84088,"SALT LAKE, UT",UT,SALT LAKE
84092,"SALT LAKE, UT",UT,SALT LAKE
84093,"SALT LAKE, UT",UT,SALT LAKE
84094,"SALT LAKE, UT",UT,SALT LAKE
84095,"SALT LAKE, UT",UT,SALT LAKE
84096,"SALT LAKE, UT",UT,SALT LAKE
84097,"UTAH, UT",UT,UTAH
84102,"SALT LAKE, UT",UT,SALT LAKE
84103,"SALT LAKE, UT",UT,SALT LAKE
84104,"SALT LAKE, UT",UT,SALT LAKE
84106,"SALT LAKE, UT",UT,SALT LAKE
84107,"SALT LAKE, UT",UT,SALT LAKE
84108,"SALT LAKE, UT",UT,SALT LAKE
84109,"SALT LAKE, UT",UT,SALT LAKE
84112,"SALT LAKE, UT",UT,SALT LAKE
84115,"SALT LAKE, UT",UT,SALT LAKE
84116,"SALT LAKE, UT",UT,SALT LAKE
84117,"SALT LAKE, UT",UT,SALT LAKE
84118,"SALT LAKE, UT",UT,SALT LAKE
84119,"SALT LAKE, UT",UT,SALT LAKE
84121,"SALT LAKE, UT",UT,SALT LAKE
84123,"SALT LAKE, UT",UT,SALT LAKE
84124,"SALT LAKE, UT",UT,SALT LAKE
84132,"SALT LAKE, UT",UT,SALT LAKE
84148,"SALT LAKE, UT",UT,SALT LAKE
84244,"WEBER, UT",UT,WEBER
84310,"WEBER, UT",UT,WEBER
84317,"WEBER, UT",UT,WEBER
84401,"WEBER, UT",UT,WEBER
84402,"WEBER, UT",UT,WEBER
84403,"WEBER, UT",UT,WEBER
84404,"WEBER, UT",UT,WEBER
84404,"BOX ELDER, UT",UT,BOX ELDER
84405,"WEBER, UT",UT,WEBER
84405,"DAVIS, UT",UT,DAVIS
84409,"WEBER, UT",UT,WEBER
84414,"WEBER, UT",UT,WEBER
84601,"UTAH, UT",UT,UTAH
84603,"UTAH, UT",UT,UTAH
84604,"UTAH, UT",UT,UTAH
84604,"WASATCH, UT",UT,WASATCH
84701,"SEVIER, UT",UT,SEVIER
84713,"BEAVER, UT",UT,BEAVER
84720,"IRON, UT",UT,IRON
84720,"WASHINGTON, UT",UT,WASHINGTON
84737,"WASHINGTON, UT",UT,WASHINGTON
84738,"WASHINGTON, UT",UT,WASHINGTON
84741,"KANE, UT",UT,KANE
84745,"WASHINGTON, UT",UT,WASHINGTON
84765,"WASHINGTON, UT",UT,WASHINGTON
